timestamp,polarity,subjectivity,neg,neu,pos,compound,open,high,low,close,volume
2021-01-01 0:00:00,0.09909090909,0.4403030303,0.01875,0.8675,0.11375,0.278425,28923.63,29031.34,28690.17,28995.13,2311.811445
2021-01-01 1:00:00,0.1178060012,0.3932920239,0.05741176471,0.7239411765,0.2186470588,0.3127647059,28995.13,29470,28960.35,29409.99,5403.068471
2021-01-01 2:00:00,0.01060606061,0.09757575758,0,0.9038,0.0962,0.11438,29410,29465.26,29120.03,29194.65,2384.23156
2021-01-01 3:00:00,0.1100958565,0.2504329004,0.01971428571,0.9108571429,0.06942857143,0.1390571429,29195.25,29367,29150.02,29278.4,1461.345077
2021-01-01 4:00:00,0.125,0.3333333333,0,0.9495,0.0505,0.1991,29278.41,29395,29029.4,29220.31,2038.046803
2021-01-01 5:00:00,0,0,0,1,0,0,29220.31,29235.28,29084.11,29187.01,1469.956262
2021-01-01 6:00:00,0.09791666667,0.6996527778,0.102875,0.687125,0.21,0.2549,29187.01,29270,29077.32,29174.35,1420.726291
2021-01-01 7:00:00,0.06517518939,0.4715909091,0.047,0.73075,0.22225,0.3437625,29174.35,29191.98,28806.54,29092.83,2380.180918
2021-01-01 8:00:00,0.2166666667,0.4291666667,0,0.765,0.235,0.4359,29092.84,29178.03,28872.24,29000.01,2008.165739
2021-01-01 9:00:00,0.2,0.4,0.0245,0.919,0.0565,0.24575,29000.01,29307.73,28970,29202.21,2022.056022
2021-01-01 10:00:00,0.1560606061,0.2424242424,0,0.8333333333,0.1666666667,0.2041333333,29202.21,29344.97,29152.88,29223.82,1944.255841
2021-01-01 11:00:00,0.04445990517,0.4615027829,0.08542857143,0.848,0.06657142857,-0.008785714286,29223.82,29402.57,29212.44,29313.49,2309.227717
2021-01-01 12:00:00,0.08666666667,0.1191666667,0.04275,0.8245,0.133,0.27565,29313.49,29600,29150,29233.49,4191.915161
2021-01-01 13:00:00,0.08106060606,0.3556277056,0.04572727273,0.8975454545,0.05672727273,0.02973636364,29233.49,29470,29200,29464.79,2211.29829
